Date,dld--spac
9/30/2020,0.019203848
10/31/2020,-0.018263476
11/30/2020,0.038959019
12/31/2020,0.089014362
1/31/2021,0.1103
2/28/2021,0.0195
3/31/2021,-0.0293
4/30/2021,0.01
5/31/2021,-0.0141
6/30/2021,-0.0007
7/31/2021,-0.0032
8/31/2021,-0.0035
9/30/2021,0.0024
10/31/2021,0.0033
11/30/2021,0.002
12/31/2021,-0.0032
1/31/2022,-0.0055
