Date,standpoint--backtest
12/31/1989,0.044621596
1/31/1990,-0.017479241
2/28/1990,-0.011367035
3/31/1990,-0.005558611
4/30/1990,0.008625737
5/31/1990,0.010425278
6/30/1990,0.015085795
7/31/1990,0.03596614
8/31/1990,-0.018091212
9/30/1990,-0.003043275
10/31/1990,0.026520081
11/30/1990,0.000715798
12/31/1990,0.01217071
1/31/1991,0.033612075
2/28/1991,0.011493117
3/31/1991,-0.010616772
4/30/1991,0.012884058
5/31/1991,0.027982105
6/30/1991,-0.01202703
7/31/1991,0.000406359
8/31/1991,0.012012548
9/30/1991,0.002674147
10/31/1991,0.026005928
11/30/1991,-0.01850079
12/31/1991,0.109500977
1/31/1992,-0.038529519
2/29/1992,-0.00796598
3/31/1992,-0.034224631
4/30/1992,0.006712038
5/31/1992,0.01772283
6/30/1992,0.007749064
7/31/1992,0.049304927
8/31/1992,0.035851292
9/30/1992,0.004981124
10/31/1992,-0.049542246
11/30/1992,-0.000215049
12/31/1992,0.020651199
1/31/1993,0.014614641
2/28/1993,0.040914168
3/31/1993,0.00403134
4/30/1993,0.006144261
5/31/1993,0.012809082
6/30/1993,0.019128542
7/31/1993,0.024143568
8/31/1993,0.020718907
9/30/1993,-0.00168059
10/31/1993,0.017386446
11/30/1993,0.002125225
12/31/1993,0.04493457
1/31/1994,-0.01027391
2/28/1994,-0.040445438
3/31/1994,-0.012307057
4/30/1994,0.007589269
5/31/1994,0.029630431
6/30/1994,0.029249376
7/31/1994,0.000415573
8/31/1994,0.014990412
9/30/1994,0.003059635
10/31/1994,0.022813382
11/30/1994,-0.034208016
12/31/1994,-0.001796616
1/31/1995,0.000640918
2/28/1995,0.031950276
3/31/1995,0.098949681
4/30/1995,0.036295014
5/31/1995,0.053012101
6/30/1995,0.00684044
7/31/1995,0.013388813
8/31/1995,-0.005961858
9/30/1995,0.045144133
10/31/1995,0.004540928
11/30/1995,0.039633431
12/31/1995,0.017013368
1/31/1996,0.014091862
2/29/1996,-0.015450002
3/31/1996,0.022574708
4/30/1996,0.031178449
5/31/1996,0.005145203
6/30/1996,0.006652584
7/31/1996,-0.040459196
8/31/1996,0.041547387
9/30/1996,0.051636549
10/31/1996,0.040703894
11/30/1996,0.051230375
12/31/1996,-0.011643122
1/31/1997,0.041298399
2/28/1997,0.008067068
3/31/1997,-0.014151471
4/30/1997,0.024027187
5/31/1997,0.014072638
6/30/1997,0.033278998
7/31/1997,0.063984035
8/31/1997,-0.041575141
9/30/1997,0.041607079
10/31/1997,-0.013570742
11/30/1997,0.014607552
12/31/1997,0.028572636
1/31/1998,0.017366995
2/28/1998,0.037557346
3/31/1998,0.035356907
4/30/1998,0.009051767
5/31/1998,0.010679106
6/30/1998,0.020173774
7/31/1998,0.009685154
8/31/1998,-0.006341854
9/30/1998,0.033475011
10/31/1998,0.018370247
11/30/1998,0.019397971
12/31/1998,0.035128745
1/31/1999,0.01801176
2/28/1999,-0.040300777
3/31/1999,0.010272629
4/30/1999,0.040883233
5/31/1999,-0.023135476
6/30/1999,0.052518472
7/31/1999,-0.005632268
8/31/1999,0.007148122
9/30/1999,-0.00093933
10/31/1999,-0.000111678
11/30/1999,0.038940813
12/31/1999,0.056484307
1/31/2000,-0.03138906
2/29/2000,0.007942446
3/31/2000,0.01070328
4/30/2000,-0.032702738
5/31/2000,-0.00652003
6/30/2000,0.012542157
7/31/2000,-0.016424215
8/31/2000,0.053579074
9/30/2000,-0.024020246
10/31/2000,-0.001354361
11/30/2000,0.021118315
12/31/2000,0.032854671
1/31/2001,-0.011821131
2/28/2001,0.009073991
3/31/2001,0.010703079
4/30/2001,-0.001907818
5/31/2001,0.000138949
6/30/2001,0.000831598
7/31/2001,-0.006511663
8/31/2001,0.0031063
9/30/2001,0.010142642
10/31/2001,0.016666416
11/30/2001,0.003388053
12/31/2001,0.012646058
1/31/2002,-0.000942041
2/28/2002,-0.012122977
3/31/2002,-0.020441592
4/30/2002,-0.023057411
5/31/2002,0.004488515
6/30/2002,0.016030706
7/31/2002,0.018860165
8/31/2002,0.012710548
9/30/2002,-0.003046714
10/31/2002,-0.000227862
11/30/2002,0.001574432
12/31/2002,0.016637995
1/31/2003,0.011282224
2/28/2003,0.031190852
3/31/2003,-0.027829448
4/30/2003,0.037663755
5/31/2003,0.060871257
6/30/2003,-0.008831175
7/31/2003,-0.01669242
8/31/2003,0.015146857
9/30/2003,-0.011013824
10/31/2003,0.063368695
11/30/2003,0.00355512
12/31/2003,0.039432809
1/31/2004,0.012408947
2/29/2004,0.030508178
3/31/2004,-0.004619118
4/30/2004,-0.037852693
5/31/2004,-0.015498924
6/30/2004,-0.001264016
7/31/2004,0.005520279
8/31/2004,-0.013773679
9/30/2004,0.048614103
10/31/2004,0.036204817
11/30/2004,0.020425128
12/31/2004,0.034200166
1/31/2005,-0.012812958
2/28/2005,-0.003476089
3/31/2005,-0.013848784
4/30/2005,-0.022697424
5/31/2005,0.027561668
6/30/2005,0.014433241
7/31/2005,-0.002778744
8/31/2005,0.034265041
9/30/2005,0.02853834
10/31/2005,-0.045291072
11/30/2005,0.028038359
12/31/2005,-0.000696424
1/31/2006,0.036661228
2/28/2006,0.007919957
3/31/2006,0.023052498
