Date,antonacci--a-gem
12/31/2018,0.030422311
1/31/2019,0.00364014
2/28/2019,-0.002337851
3/31/2019,0.030833815
4/30/2019,-0.000102836
5/31/2019,-0.020984766
6/30/2019,0.051848198
7/31/2019,0.00937093
8/31/2019,0.002824883
9/30/2019,-0.008756957
10/31/2019,0.001736695
11/30/2019,0.002663956
12/31/2019,0.04273845
1/31/2020,0.011963169
2/29/2020,0.015558537
3/31/2020,0.040195165
4/30/2020,-0.005672679
5/31/2020,0.033145574
6/30/2020,0.03672268
7/31/2020,0.062565253
8/31/2020,0.032876813
9/30/2020,-0.013580069
10/31/2020,-0.009812814
11/30/2020,0.10255683
12/31/2020,0.051579856
1/31/2021,0.004566067
2/28/2021,0.012471268
3/31/2021,0.003874981
4/30/2021,0.017024581
5/31/2021,0.028970466
6/30/2021,0.021734957
7/31/2021,0.025207029
8/31/2021,0.030226718
9/30/2021,-0.051264018
10/31/2021,0.073122082
11/30/2021,0.01350171
12/31/2021,0.016226264
1/31/2022,-0.074012009
