Date,rabar-market-research--diversified-program
6/30/2010,-0.0077
7/31/2010,0.0547
8/31/2010,0.0487
9/30/2010,0.0929
10/31/2010,0.052
11/30/2010,-0.0241
12/31/2010,0.1049
1/31/2011,0.0073
2/28/2011,0.0529
3/31/2011,-0.0255
4/30/2011,0.086
5/31/2011,-0.0744
6/30/2011,-0.0586
7/31/2011,0.0579
8/31/2011,-0.0037
9/30/2011,-0.0729
10/31/2011,-0.0401
11/30/2011,-0.0129
12/31/2011,0.0038
1/31/2012,0.0084
2/29/2012,0.0279
3/31/2012,-0.0492
4/30/2012,-0.0033
5/31/2012,0.0787
6/30/2012,-0.0439
7/31/2012,0.0272
8/31/2012,0.0113
9/30/2012,-0.0291
10/31/2012,-0.0717
11/30/2012,-0.0171
12/31/2012,0.0003
1/31/2013,0.0309
2/28/2013,-0.0262
3/31/2013,-0.0005
4/30/2013,0.0345
5/31/2013,-0.0193
6/30/2013,-0.0333
7/31/2013,-0.0029
8/31/2013,-0.0125
9/30/2013,0.0005
10/31/2013,-0.0076
11/30/2013,0.0226
12/31/2013,0.0084
1/31/2014,-0.028
2/28/2014,0.0815
3/31/2014,-0.0132
4/30/2014,0.0108
5/31/2014,0.0059
6/30/2014,0.0271
7/31/2014,-0.0146
8/31/2014,0.0282
9/30/2014,0.0351
10/31/2014,0.015
11/30/2014,0.0367
12/31/2014,0.0025
1/31/2015,0.0291
2/28/2015,0.0022
3/31/2015,-0.0191
4/30/2015,-0.0325
5/31/2015,0.0047
6/30/2015,-0.0336
7/31/2015,0.0008
8/31/2015,-0.048
9/30/2015,0.0129
10/31/2015,-0.0294
11/30/2015,0.0285
12/31/2015,-0.0593
1/31/2016,0.0249
2/29/2016,0.0169
3/31/2016,-0.0263
4/30/2016,0.0116
5/31/2016,-0.0313
6/30/2016,0.041
7/31/2016,0.0363
8/31/2016,-0.0649
9/30/2016,-0.0042
10/31/2016,-0.0505
11/30/2016,0.0366
12/31/2016,0.0163
1/31/2017,-0.0249
2/28/2017,0.0224
3/31/2017,-0.0241
4/30/2017,0.0043
5/31/2017,-0.0016
6/30/2017,0.0086
7/31/2017,-0.0016
8/31/2017,0.0227
9/30/2017,-0.0374
10/31/2017,0.0786
11/30/2017,-0.0321
12/31/2017,0.0536
1/31/2018,0.1064
2/28/2018,-0.0962
3/31/2018,-0.0074
4/30/2018,0.0179
5/31/2018,0.0786
6/30/2018,-0.0321
7/31/2018,0.0536
8/31/2018,0.1064
9/30/2018,-0.0962
10/31/2018,-0.0074
11/30/2018,0.0179
12/31/2018,-0.0016
1/31/2019,0.0227
2/28/2019,-0.0374
